model,Model CountAccidents
Bayraktar TB2,4
Ka-52,4
MiG-29,3
An-26,2
MiG-29MU1,2
RV-8,2
Su-25,2
208B,1
208B Supervan 900,1
35,1
35-C33 Debonair,1
An-22A,1
An-26-100,1
An-74T,1
City Challenger II,1
D 13/15 SUN DANCER,1
D-13/15 SunDancer,1
EMB-202A Ipanema,1
ERJ-135LR,1
ERJ190,1
ERJ-190AR,1
GY-80-160 Horizon,1
II,1
Il-76MD,1
L-39M1 Albatros,1
L-410UVP-E20 Turbolet,1
M20F,1
Mi-24P,1
Mi-35M,1
Mi-8AMTSh,1
MiG-29UB,1
PA-30-160 Twin Comanche B,1
Smith Aerostar 601P,1
STOL CH 750,1
Su-25M1,1
Su-25M1K,1
T337D Super Skymaster,1
