country,Sum of accident_id
,320811
"",3095147
AF,868204
Afghanistan,5840025
AG,932997
AL,88332
Albania,220610
Algeria,2507895
AM,94529
American Samoa,109374
Andorra,39309
Angola,751027
Anguilla,60156
Antarctica,318304
Antigua and Barbuda,161203
AO,160194
AQ,238201
AR,10188177
Arctic Ocean,73584
Argentina,32565328
Armenia,913037
Aruba,465193
AS,27416173
Atlantic Ocean,5746334
AU,5717026
Australia,115944625
Austria,12941900
AV,95544
AY,76170
Azerbaijan,870741
BA,72975
Bahamas,6704393
Bahrain,148442
Bangladesh,2897151
Barbados,208690
BB,160771
BC,343491
BD,170631
BE,3146848
Belarus,1113669
Belgium,7446919
Belize,2808136
Benin,183575
Bermuda,363184
BF,6378439
BG,634304
BH,1094067
Bhutan,158842
BK,171219
BL,2779579
BM,271919
BN,97982
BO,155745
Bolivia,7241092
Bosnia and Herzegovina,783415
Botswana,780441
BP,79798
BR,38289918
Brazil,110380813
British Virgin Islands,408777
Brunei,27303
BS,194787
BU,725443
Bulgaria,2634371
Burkina Faso,261032
Burundi,18027
CA,22729842
Cambodia,118540
Cameroon,754130
Canada,122470098
Cape Verde,272203
Caribbean Netherlands,274759
Cayman Islands,211510
CD,196644
CE,477544
Central African Republic,640382
CF,1855824
CH,4157997
Chad,632866
Chile,12710855
China,19868546
Christmas Island,53437
CI,5319465
CJ,323112
CM,163653
CN,288837
CO,15735507
Colombia,20373847
Comoros,412431
Congo,521572
Congo (Democratic Republic),5810749
Cook Islands,67983
Costa Rica,6282784
Cote d'Ivoire,812759
CQ,86631
Croatia,2861935
CS,2145347
CU,658800
Cuba,1356496
Curaçao,509259
CY,82835
Cyprus,834278
Czech Republic,2135026
Czechia,10404738
DA,3164197
Denmark,8498849
Djibouti,211748
DO,347197
Dominica,347889
Dominican Republic,3116188
DR,1983449
East Timor,110689
EC,6156442
Ecuador,6897880
EG,1166588
Egypt,2377542
EI,5341608
EK,97258
El Salvador,1495860
EN,163505
Equatorial Guinea,130309
Eritrea,40924
ES,1492969
Estonia,901819
Eswatini,140979
ET,536701
Ethiopia,1543270
EZ,1680933
Falkland Islands,65747
FG,264913
FI,1654321
Fiji,800806
Finland,6996525
FJ,162242
FM,184864
FP,93577
FR,15769448
France,72813229
French Guiana,401239
French Polynesia,526529
Gabon,263897
Gambia,27086
GB,575236
GE,15133574
Georgia,1131126
Germany,100057980
GG,88925
GH,253353
Ghana,754861
Gibraltar,47771
GL,555858
GP,614740
GR,1504422
Greece,5977010
Greenland,783855
Grenada,143909
GT,4992300
Guadeloupe,997825
Guam,340495
Guatemala,10552634
Guinea,185389
Guinea-Bissau,49561
Guyana,2105101
GV,159516
GY,1281378
HA,358806
Haiti,1131076
HK,1623215
HO,1686354
Honduras,4496357
Hong Kong,2871005
HR,1186174
HU,2680093
Hungary,5905007
IC,1884639
Iceland,2224119
ID,7470164
IM,91561
IN,9501890
India,30518445
Indian Ocean,1937805
Indonesia,17247248
IR,1070092
Iran,8549674
Iraq,3597506
Ireland,6681820
IS,1065835
Israel,6556243
IT,7199157
Italy,30696804
IV,97936
IZ,164835
JA,10278717
Jamaica,858226
Japan,39256276
JE,79439
JM,691020
JO,360819
Jordan,1484424
Kazakhstan,4319350
KE,2817153
Kenya,7203992
KG,254361
Kiribati,22165
KN,185244
Kosovo,170096
KR,258606
KS,3626161
KU,99339
Kuwait,765326
Kyrgyzstan,819575
KZ,988954
Laos,295134
Latvia,1145221
LE,260381
Lebanon,1513721
Lesotho,34859
LG,829968
LH,721653
LI,195684
Liberia,157862
Libya,6144039
Lithuania,1896408
LO,172827
LU,246108
Luxembourg,744088
LY,169362
MA,554728
Macau,155894
Madagascar,870564
Malawi,356501
Malaysia,4782944
Maldives,1691307
Mali,2032623
Malta,1658414
Marshall Islands,103728
Martinique,190265
Mauritania,287615
Mauritius,413763
Mayotte,63051
MD,97581
Mediterranean Sea,814555
Mexico,36728799
MG,83579
Micronesia,247063
MK,172866
ML,170115
MO,1189161
Moldova,553253
Mongolia,557650
Montenegro,224795
Montserrat,148702
Morocco,2650810
Mozambique,1550252
MR,87608
MS,86633
MT,362115
MU,558040
MV,358543
MX,23204938
MY,1789845
Myanmar,2661114
MZ,74313
Namibia,2489187
Nauru,35222
NC,170919
Nepal,3690886
Netherlands,17772241
New Caledonia,703658
New Zealand,17242902
NG,371176
NH,172666
NI,3106047
Nicaragua,1217069
Niger,494575
Nigeria,6582817
NL,3440342
NO,2665923
Norfolk Island,86116
North Korea,147829
North Macedonia,298178
Northern Mariana Islands,116056
Norway,8635838
NP,946888
NR,82011
NS,177278
NT,347662
NU,336569
NZ,3767832
Oman,1758514
PA,787585
Pacific Ocean,5054595
Pakistan,10721611
Palau,76974
Palestine,41228
Panama,3289806
Papua New Guinea,4188322
Paraguay,5177369
PE,4571398
Peru,6251998
PF,94706
Philippines,8933836
PK,4353400
PL,4343362
PM,1448562
PO,2363562
Poland,18126963
Portugal,7384162
PP,1740412
Puerto Rico,2807844
PW,72605
QA,641093
Qatar,706185
RE,177412
Reunion,842228
RO,1565875
Romania,6769918
RP,1759210
RS,7412032
Russia,82357776
RW,281047
Rwanda,383204
SA,2307978
Saint Barth�lemy,783154
Saint Lucia,102408
Saint Martin,124114
Saint Vincent and the Grenadines,255375
Samoa,263567
San Marino,30412
São Tomé and Príncipe,265565
Saudi Arabia,4193545
SB,96356
SC,287304
SE,197687
Senegal,704416
Serbia,1275035
Seychelles,203647
SF,11644857
SG,367798
SI,819729
Sierra Leone,117540
Singapore,2144402
Sint Maarten,592744
Slovakia,3841437
Slovenia,2666287
SN,2229525
SO,463737
Solomon Islands,80470
Somalia,2731150
South Africa,51653862
South Korea,6696346
South Sudan,3772107
SP,12741928
Spain,34893527
SR,355438
Sri Lanka,2502096
ST,95390
St. Kitts and Nevis,182368
St. Pierre and Miquelon,74492
SU,380052
Sudan,4553956
Suriname,1879453
SW,4092152
Sweden,9427706
Switzerland,25421994
Syria,8287507
SZ,7010897
Taiwan,4781636
Tajikistan,366425
Tanzania,1537128
TC,2895067
TD,78324
TH,3009876
Thailand,7483469
TI,98332
TK,449527
Togo,378426
Tonga,182300
TP,267994
Trinidad and Tobago,388734
T�rkiye,11137493
TS,177135
TU,2768882
Tunisia,870685
Türkiye,1286436
Turkmenistan,119416
Turks and Caicos Islands,494872
TW,1638398
TZ,498797
U.S. Minor Outlying Islands,66740
U.S. Virgin Islands,855898
UG,183745
Uganda,1399159
UK,28185320
Ukraine,57462803
UN,794181
United Arab Emirates,4305236
United Kingdom,126050016
United States of America,966868177
Unknown country,1107795
UP,1241655
Uruguay,2660978
USA,2341515685
UY,2012610
UZ,96784
Uzbekistan,597727
Vanuatu,618706
VC,170083
VE,7549117
Venezuela,15462039
VG,539432
Vietnam,2604281
VM,264064
WA,1066104
Wallis and Futuna,49609
WF,91733
WZ,90319
XK,99118
Yemen,4540308
YM,80962
ZA,283476
Zambia,1231287
ZI,552262
Zimbabwe,1497350
